location_id,report_id
KENTUCKY,KENTUCKY|2022|8
ARKANSAS,ARKANSAS|2022|8
LOUISIANA,LOUISIANA|2022|8
OKLAHOMA,OKLAHOMA|2022|8
ARIZONA,ARIZONA|2022|8
COLORADO,COLORADO|2022|8
IDAHO,IDAHO|2022|8
MONTANA,MONTANA|2022|8
NEVADA,NEVADA|2022|8
ALASKA,ALASKA|2022|8
OREGON,OREGON|2022|8
WASHINGTON,WASHINGTON|2022|8
NON-US RESIDENTS,NON-US RESIDENTS|2022|8
MAINE,MAINE|2022|9
NEW HAMPSHIRE,NEW HAMPSHIRE|2022|9
VERMONT,VERMONT|2022|9
NEW JERSEY,NEW JERSEY|2022|9
NEW YORK,NEW YORK|2022|9
PENNSYLVANIA,PENNSYLVANIA|2022|9
ILLINOIS,ILLINOIS|2022|9
MICHIGAN,MICHIGAN|2022|9
WISCONSIN,WISCONSIN|2022|9
IOWA,IOWA|2022|9
KANSAS,KANSAS|2022|9
MINNESOTA,MINNESOTA|2022|9
MISSOURI,MISSOURI|2022|9
NEBRASKA,NEBRASKA|2022|9
NORTH DAKOTA,NORTH DAKOTA|2022|9
SOUTH DAKOTA,SOUTH DAKOTA|2022|9
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|9
FLORIDA,FLORIDA|2022|9
SOUTH CAROLINA,SOUTH CAROLINA|2022|9
VIRGINIA,VIRGINIA|2022|9
WEST VIRGINIA,WEST VIRGINIA|2022|9
ALABAMA,ALABAMA|2022|9
KENTUCKY,KENTUCKY|2022|9
MISSISSIPPI,MISSISSIPPI|2022|9
TENNESSEE,TENNESSEE|2022|9
ARKANSAS,ARKANSAS|2022|9
LOUISIANA,LOUISIANA|2022|9
OKLAHOMA,OKLAHOMA|2022|9
ARIZONA,ARIZONA|2022|9
IDAHO,IDAHO|2022|9
MONTANA,MONTANA|2022|9
NEW MEXICO,NEW MEXICO|2022|9
UTAH,UTAH|2022|9
WYOMING,WYOMING|2022|9
ALASKA,ALASKA|2022|9
OREGON,OREGON|2022|9
NON-US RESIDENTS,NON-US RESIDENTS|2022|9
MAINE,MAINE|2022|10
NEW HAMPSHIRE,NEW HAMPSHIRE|2022|10
VERMONT,VERMONT|2022|10
NEW JERSEY,NEW JERSEY|2022|10
NEW YORK,NEW YORK|2022|10
ILLINOIS,ILLINOIS|2022|10
MICHIGAN,MICHIGAN|2022|10
WISCONSIN,WISCONSIN|2022|10
MISSOURI,MISSOURI|2022|10
SOUTH DAKOTA,SOUTH DAKOTA|2022|10
FLORIDA,FLORIDA|2022|10
SOUTH CAROLINA,SOUTH CAROLINA|2022|10
VIRGINIA,VIRGINIA|2022|10
WEST VIRGINIA,WEST VIRGINIA|2022|10
ALABAMA,ALABAMA|2022|10
KENTUCKY,KENTUCKY|2022|10
MISSISSIPPI,MISSISSIPPI|2022|10
ARKANSAS,ARKANSAS|2022|10
LOUISIANA,LOUISIANA|2022|10
OKLAHOMA,OKLAHOMA|2022|10
ARIZONA,ARIZONA|2022|10
COLORADO,COLORADO|2022|10
IDAHO,IDAHO|2022|10
MONTANA,MONTANA|2022|10
NEW MEXICO,NEW MEXICO|2022|10
UTAH,UTAH|2022|10
WYOMING,WYOMING|2022|10
OREGON,OREGON|2022|10
WASHINGTON,WASHINGTON|2022|10
NON-US RESIDENTS,NON-US RESIDENTS|2022|10
MAINE,MAINE|2022|11
NEW HAMPSHIRE,NEW HAMPSHIRE|2022|11
VERMONT,VERMONT|2022|11
NEW JERSEY,NEW JERSEY|2022|11
NEW YORK,NEW YORK|2022|11
PENNSYLVANIA,PENNSYLVANIA|2022|11
ILLINOIS,ILLINOIS|2022|11
MICHIGAN,MICHIGAN|2022|11
OHIO,OHIO|2022|11
WISCONSIN,WISCONSIN|2022|11
IOWA,IOWA|2022|11
MINNESOTA,MINNESOTA|2022|11
MISSOURI,MISSOURI|2022|11
NORTH DAKOTA,NORTH DAKOTA|2022|11
SOUTH DAKOTA,SOUTH DAKOTA|2022|11
FLORIDA,FLORIDA|2022|11
GEORGIA,GEORGIA|2022|11
SOUTH CAROLINA,SOUTH CAROLINA|2022|11
VIRGINIA,VIRGINIA|2022|11
WEST VIRGINIA,WEST VIRGINIA|2022|11
ALABAMA,ALABAMA|2022|11
KENTUCKY,KENTUCKY|2022|11
MISSISSIPPI,MISSISSIPPI|2022|11
TENNESSEE,TENNESSEE|2022|11
ARKANSAS,ARKANSAS|2022|11
LOUISIANA,LOUISIANA|2022|11
OKLAHOMA,OKLAHOMA|2022|11
ARIZONA,ARIZONA|2022|11
IDAHO,IDAHO|2022|11
MONTANA,MONTANA|2022|11
NEVADA,NEVADA|2022|11
NEW MEXICO,NEW MEXICO|2022|11
UTAH,UTAH|2022|11
WYOMING,WYOMING|2022|11
CALIFORNIA,CALIFORNIA|2022|11
OREGON,OREGON|2022|11
WASHINGTON,WASHINGTON|2022|11
NON-US RESIDENTS,NON-US RESIDENTS|2022|11
MAINE,MAINE|2022|12
NEW HAMPSHIRE,NEW HAMPSHIRE|2022|12
VERMONT,VERMONT|2022|12
NEW JERSEY,NEW JERSEY|2022|12
NEW YORK,NEW YORK|2022|12
PENNSYLVANIA,PENNSYLVANIA|2022|12
ILLINOIS,ILLINOIS|2022|12
MICHIGAN,MICHIGAN|2022|12
OHIO,OHIO|2022|12
WISCONSIN,WISCONSIN|2022|12
IOWA,IOWA|2022|12
MISSOURI,MISSOURI|2022|12
NEBRASKA,NEBRASKA|2022|12
SOUTH DAKOTA,SOUTH DAKOTA|2022|12
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|12
FLORIDA,FLORIDA|2022|12
GEORGIA,GEORGIA|2022|12
SOUTH CAROLINA,SOUTH CAROLINA|2022|12
VIRGINIA,VIRGINIA|2022|12
WEST VIRGINIA,WEST VIRGINIA|2022|12
ALABAMA,ALABAMA|2022|12
KENTUCKY,KENTUCKY|2022|12
MISSISSIPPI,MISSISSIPPI|2022|12
ARKANSAS,ARKANSAS|2022|12
LOUISIANA,LOUISIANA|2022|12
OKLAHOMA,OKLAHOMA|2022|12
ARIZONA,ARIZONA|2022|12
IDAHO,IDAHO|2022|12
MONTANA,MONTANA|2022|12
NEVADA,NEVADA|2022|12
NEW MEXICO,NEW MEXICO|2022|12
UTAH,UTAH|2022|12
WYOMING,WYOMING|2022|12
CALIFORNIA,CALIFORNIA|2022|12
OREGON,OREGON|2022|12
WASHINGTON,WASHINGTON|2022|12
NON-US RESIDENTS,NON-US RESIDENTS|2022|12
NEW HAMPSHIRE,NEW HAMPSHIRE|2022|13
VERMONT,VERMONT|2022|13
NEW JERSEY,NEW JERSEY|2022|13
NEW YORK,NEW YORK|2022|13
PENNSYLVANIA,PENNSYLVANIA|2022|13
ILLINOIS,ILLINOIS|2022|13
MICHIGAN,MICHIGAN|2022|13
WISCONSIN,WISCONSIN|2022|13
IOWA,IOWA|2022|13
MINNESOTA,MINNESOTA|2022|13
MISSOURI,MISSOURI|2022|13
NEBRASKA,NEBRASKA|2022|13
NORTH DAKOTA,NORTH DAKOTA|2022|13
SOUTH DAKOTA,SOUTH DAKOTA|2022|13
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|13
FLORIDA,FLORIDA|2022|13
GEORGIA,GEORGIA|2022|13
NORTH CAROLINA,NORTH CAROLINA|2022|13
SOUTH CAROLINA,SOUTH CAROLINA|2022|13
VIRGINIA,VIRGINIA|2022|13
WEST VIRGINIA,WEST VIRGINIA|2022|13
ALABAMA,ALABAMA|2022|13
KENTUCKY,KENTUCKY|2022|13
MISSISSIPPI,MISSISSIPPI|2022|13
ARKANSAS,ARKANSAS|2022|13
LOUISIANA,LOUISIANA|2022|13
OKLAHOMA,OKLAHOMA|2022|13
ARIZONA,ARIZONA|2022|13
IDAHO,IDAHO|2022|13
MONTANA,MONTANA|2022|13
NEVADA,NEVADA|2022|13
NEW MEXICO,NEW MEXICO|2022|13
UTAH,UTAH|2022|13
WYOMING,WYOMING|2022|13
CALIFORNIA,CALIFORNIA|2022|13
OREGON,OREGON|2022|13
WASHINGTON,WASHINGTON|2022|13
MAINE,MAINE|2022|14
NEW HAMPSHIRE,NEW HAMPSHIRE|2022|14
NEW JERSEY,NEW JERSEY|2022|14
NEW YORK,NEW YORK|2022|14
PENNSYLVANIA,PENNSYLVANIA|2022|14
ILLINOIS,ILLINOIS|2022|14
MICHIGAN,MICHIGAN|2022|14
WISCONSIN,WISCONSIN|2022|14
IOWA,IOWA|2022|14
MINNESOTA,MINNESOTA|2022|14
MISSOURI,MISSOURI|2022|14
NEBRASKA,NEBRASKA|2022|14
NORTH DAKOTA,NORTH DAKOTA|2022|14
SOUTH DAKOTA,SOUTH DAKOTA|2022|14
FLORIDA,FLORIDA|2022|14
GEORGIA,GEORGIA|2022|14
NORTH CAROLINA,NORTH CAROLINA|2022|14
SOUTH CAROLINA,SOUTH CAROLINA|2022|14
VIRGINIA,VIRGINIA|2022|14
WEST VIRGINIA,WEST VIRGINIA|2022|14
ALABAMA,ALABAMA|2022|14
KENTUCKY,KENTUCKY|2022|14
MISSISSIPPI,MISSISSIPPI|2022|14
TENNESSEE,TENNESSEE|2022|14
ARKANSAS,ARKANSAS|2022|14
LOUISIANA,LOUISIANA|2022|14
OKLAHOMA,OKLAHOMA|2022|14
TEXAS,TEXAS|2022|14
ARIZONA,ARIZONA|2022|14
COLORADO,COLORADO|2022|14
IDAHO,IDAHO|2022|14
MONTANA,MONTANA|2022|14
NEW MEXICO,NEW MEXICO|2022|14
UTAH,UTAH|2022|14
WYOMING,WYOMING|2022|14
CALIFORNIA,CALIFORNIA|2022|14
OREGON,OREGON|2022|14
WASHINGTON,WASHINGTON|2022|14
NON-US RESIDENTS,NON-US RESIDENTS|2022|14
MAINE,MAINE|2022|15
VERMONT,VERMONT|2022|15
NEW JERSEY,NEW JERSEY|2022|15
NEW YORK,NEW YORK|2022|15
PENNSYLVANIA,PENNSYLVANIA|2022|15
MICHIGAN,MICHIGAN|2022|15
WISCONSIN,WISCONSIN|2022|15
IOWA,IOWA|2022|15
MINNESOTA,MINNESOTA|2022|15
MISSOURI,MISSOURI|2022|15
NEBRASKA,NEBRASKA|2022|15
SOUTH DAKOTA,SOUTH DAKOTA|2022|15
DELAWARE,DELAWARE|2022|15
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|15
FLORIDA,FLORIDA|2022|15
GEORGIA,GEORGIA|2022|15
NORTH CAROLINA,NORTH CAROLINA|2022|15
SOUTH CAROLINA,SOUTH CAROLINA|2022|15
VIRGINIA,VIRGINIA|2022|15
WEST VIRGINIA,WEST VIRGINIA|2022|15
ALABAMA,ALABAMA|2022|15
KENTUCKY,KENTUCKY|2022|15
MISSISSIPPI,MISSISSIPPI|2022|15
ARKANSAS,ARKANSAS|2022|15
LOUISIANA,LOUISIANA|2022|15
OKLAHOMA,OKLAHOMA|2022|15
ARIZONA,ARIZONA|2022|15
COLORADO,COLORADO|2022|15
IDAHO,IDAHO|2022|15
MONTANA,MONTANA|2022|15
NEW MEXICO,NEW MEXICO|2022|15
UTAH,UTAH|2022|15
WYOMING,WYOMING|2022|15
CALIFORNIA,CALIFORNIA|2022|15
OREGON,OREGON|2022|15
WASHINGTON,WASHINGTON|2022|15
NON-US RESIDENTS,NON-US RESIDENTS|2022|15
MAINE,MAINE|2022|16
VERMONT,VERMONT|2022|16
NEW JERSEY,NEW JERSEY|2022|16
NEW YORK,NEW YORK|2022|16
PENNSYLVANIA,PENNSYLVANIA|2022|16
ILLINOIS,ILLINOIS|2022|16
INDIANA,INDIANA|2022|16
MICHIGAN,MICHIGAN|2022|16
WISCONSIN,WISCONSIN|2022|16
IOWA,IOWA|2022|16
MINNESOTA,MINNESOTA|2022|16
MISSOURI,MISSOURI|2022|16
NEBRASKA,NEBRASKA|2022|16
SOUTH DAKOTA,SOUTH DAKOTA|2022|16
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|16
FLORIDA,FLORIDA|2022|16
GEORGIA,GEORGIA|2022|16
NORTH CAROLINA,NORTH CAROLINA|2022|16
SOUTH CAROLINA,SOUTH CAROLINA|2022|16
VIRGINIA,VIRGINIA|2022|16
WEST VIRGINIA,WEST VIRGINIA|2022|16
ALABAMA,ALABAMA|2022|16
KENTUCKY,KENTUCKY|2022|16
MISSISSIPPI,MISSISSIPPI|2022|16
ARKANSAS,ARKANSAS|2022|16
LOUISIANA,LOUISIANA|2022|16
OKLAHOMA,OKLAHOMA|2022|16
ARIZONA,ARIZONA|2022|16
IDAHO,IDAHO|2022|16
MONTANA,MONTANA|2022|16
NEVADA,NEVADA|2022|16
NEW MEXICO,NEW MEXICO|2022|16
UTAH,UTAH|2022|16
WYOMING,WYOMING|2022|16
CALIFORNIA,CALIFORNIA|2022|16
OREGON,OREGON|2022|16
WASHINGTON,WASHINGTON|2022|16
NON-US RESIDENTS,NON-US RESIDENTS|2022|16
VERMONT,VERMONT|2022|17
NEW JERSEY,NEW JERSEY|2022|17
NEW YORK,NEW YORK|2022|17
PENNSYLVANIA,PENNSYLVANIA|2022|17
ILLINOIS,ILLINOIS|2022|17
MICHIGAN,MICHIGAN|2022|17
WISCONSIN,WISCONSIN|2022|17
IOWA,IOWA|2022|17
NEBRASKA,NEBRASKA|2022|17
NORTH DAKOTA,NORTH DAKOTA|2022|17
SOUTH DAKOTA,SOUTH DAKOTA|2022|17
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|17
FLORIDA,FLORIDA|2022|17
GEORGIA,GEORGIA|2022|17
SOUTH CAROLINA,SOUTH CAROLINA|2022|17
VIRGINIA,VIRGINIA|2022|17
WEST VIRGINIA,WEST VIRGINIA|2022|17
ALABAMA,ALABAMA|2022|17
KENTUCKY,KENTUCKY|2022|17
MISSISSIPPI,MISSISSIPPI|2022|17
TENNESSEE,TENNESSEE|2022|17
ARKANSAS,ARKANSAS|2022|17
LOUISIANA,LOUISIANA|2022|17
OKLAHOMA,OKLAHOMA|2022|17
ARIZONA,ARIZONA|2022|17
IDAHO,IDAHO|2022|17
NEW MEXICO,NEW MEXICO|2022|17
UTAH,UTAH|2022|17
WYOMING,WYOMING|2022|17
CALIFORNIA,CALIFORNIA|2022|17
OREGON,OREGON|2022|17
WASHINGTON,WASHINGTON|2022|17
NON-US RESIDENTS,NON-US RESIDENTS|2022|17
MAINE,MAINE|2022|18
VERMONT,VERMONT|2022|18
NEW JERSEY,NEW JERSEY|2022|18
NEW YORK,NEW YORK|2022|18
PENNSYLVANIA,PENNSYLVANIA|2022|18
MICHIGAN,MICHIGAN|2022|18
WISCONSIN,WISCONSIN|2022|18
MINNESOTA,MINNESOTA|2022|18
NEBRASKA,NEBRASKA|2022|18
SOUTH DAKOTA,SOUTH DAKOTA|2022|18
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|18
FLORIDA,FLORIDA|2022|18
GEORGIA,GEORGIA|2022|18
NORTH CAROLINA,NORTH CAROLINA|2022|18
SOUTH CAROLINA,SOUTH CAROLINA|2022|18
VIRGINIA,VIRGINIA|2022|18
WEST VIRGINIA,WEST VIRGINIA|2022|18
ALABAMA,ALABAMA|2022|18
KENTUCKY,KENTUCKY|2022|18
MISSISSIPPI,MISSISSIPPI|2022|18
ARKANSAS,ARKANSAS|2022|18
LOUISIANA,LOUISIANA|2022|18
OKLAHOMA,OKLAHOMA|2022|18
ARIZONA,ARIZONA|2022|18
COLORADO,COLORADO|2022|18
IDAHO,IDAHO|2022|18
NEVADA,NEVADA|2022|18
NEW MEXICO,NEW MEXICO|2022|18
UTAH,UTAH|2022|18
WYOMING,WYOMING|2022|18
CALIFORNIA,CALIFORNIA|2022|18
OREGON,OREGON|2022|18
WASHINGTON,WASHINGTON|2022|18
NON-US RESIDENTS,NON-US RESIDENTS|2022|18
MAINE,MAINE|2022|19
RHODE ISLAND,RHODE ISLAND|2022|19
VERMONT,VERMONT|2022|19
NEW JERSEY,NEW JERSEY|2022|19
NEW YORK,NEW YORK|2022|19
PENNSYLVANIA,PENNSYLVANIA|2022|19
ILLINOIS,ILLINOIS|2022|19
MICHIGAN,MICHIGAN|2022|19
WISCONSIN,WISCONSIN|2022|19
IOWA,IOWA|2022|19
MISSOURI,MISSOURI|2022|19
NEBRASKA,NEBRASKA|2022|19
SOUTH DAKOTA,SOUTH DAKOTA|2022|19
DISTRICT OF COLUMBIA,DISTRICT OF COLUMBIA|2022|19
FLORIDA,FLORIDA|2022|19
GEORGIA,GEORGIA|2022|19
NORTH CAROLINA,NORTH CAROLINA|2022|19
SOUTH CAROLINA,SOUTH CAROLINA|2022|19
VIRGINIA,VIRGINIA|2022|19
WEST VIRGINIA,WEST VIRGINIA|2022|19
ALABAMA,ALABAMA|2022|19
KENTUCKY,KENTUCKY|2022|19
ARKANSAS,ARKANSAS|2022|19
LOUISIANA,LOUISIANA|2022|19
OKLAHOMA,OKLAHOMA|2022|19
ARIZONA,ARIZONA|2022|19
MONTANA,MONTANA|2022|19
NEW MEXICO,NEW MEXICO|2022|19
UTAH,UTAH|2022|19
WYOMING,WYOMING|2022|19
CALIFORNIA,CALIFORNIA|2022|19
OREGON,OREGON|2022|19
WASHINGTON,WASHINGTON|2022|19
US TERRITORIES,US TERRITORIES|2022|19
PUERTO RICO,PUERTO RICO|2022|19
NON-US RESIDENTS,NON-US RESIDENTS|2022|19
MAINE,MAINE|2022|20
VERMONT,VERMONT|2022|20
NEW JERSEY,NEW JERSEY|2022|20
NEW YORK,NEW YORK|2022|20
PENNSYLVANIA,PENNSYLVANIA|2022|20
ILLINOIS,ILLINOIS|2022|20
MICHIGAN,MICHIGAN|2022|20
WISCONSIN,WISCONSIN|2022|20
MINNESOTA,MINNESOTA|2022|20
MISSOURI,MISSOURI|2022|20
NEBRASKA,NEBRASKA|2022|20
SOUTH DAKOTA,SOUTH DAKOTA|2022|20
FLORIDA,FLORIDA|2022|20
GEORGIA,GEORGIA|2022|20
NORTH CAROLINA,NORTH CAROLINA|2022|20
SOUTH CAROLINA,SOUTH CAROLINA|2022|20
VIRGINIA,VIRGINIA|2022|20
WEST VIRGINIA,WEST VIRGINIA|2022|20
ALABAMA,ALABAMA|2022|20
KENTUCKY,KENTUCKY|2022|20
MISSISSIPPI,MISSISSIPPI|2022|20
TENNESSEE,TENNESSEE|2022|20
ARKANSAS,ARKANSAS|2022|20
LOUISIANA,LOUISIANA|2022|20
OKLAHOMA,OKLAHOMA|2022|20
ARIZONA,ARIZONA|2022|20
COLORADO,COLORADO|2022|20
NEW MEXICO,NEW MEXICO|2022|20
UTAH,UTAH|2022|20
WYOMING,WYOMING|2022|20
OREGON,OREGON|2022|20
WASHINGTON,WASHINGTON|2022|20
NON-US RESIDENTS,NON-US RESIDENTS|2022|20
MAINE,MAINE|2022|21
VERMONT,VERMONT|2022|21
NEW YORK,NEW YORK|2022|21
PENNSYLVANIA,PENNSYLVANIA|2022|21
ILLINOIS,ILLINOIS|2022|21
MICHIGAN,MICHIGAN|2022|21
