report_id,location_id,year,week,cases_current_week,cases_diff,cumulative_ytd_current_year,cumulative_ytd_prev_year
NEW JERSEY|2022|4,NEW JERSEY,2022,4,435,56,1622,2832
NEW YORK|2022|4,NEW YORK,2022,4,802,316,2233,1918
PENNSYLVANIA|2022|4,PENNSYLVANIA,2022,4,948,283,3526,4355
ILLINOIS|2022|4,ILLINOIS,2022,4,56,6,646,5857
IOWA|2022|4,IOWA,2022,4,44,43,747,818
KANSAS|2022|4,KANSAS,2022,4,35,6,109,746
MINNESOTA|2022|4,MINNESOTA,2022,4,18,-83,856,1979
MISSOURI|2022|4,MISSOURI,2022,4,293,-33,1699,2035
NEBRASKA|2022|4,NEBRASKA,2022,4,196,55,640,756
DISTRICT OF COLUMBIA|2022|4,DISTRICT OF COLUMBIA,2022,4,94,49,478,529
GEORGIA|2022|4,GEORGIA,2022,4,793,222,2464,5131
VIRGINIA|2022|4,VIRGINIA,2022,4,814,75,2803,2949
MISSISSIPPI|2022|4,MISSISSIPPI,2022,4,196,102,1204,1812
TENNESSEE|2022|4,TENNESSEE,2022,4,334,38,1263,3067
ARKANSAS|2022|4,ARKANSAS,2022,4,157,55,678,1375
OKLAHOMA|2022|4,OKLAHOMA,2022,4,51,20,412,947
ARIZONA|2022|4,ARIZONA,2022,4,471,106,2461,2734
COLORADO|2022|4,COLORADO,2022,4,449,34,883,2287
NEW MEXICO|2022|4,NEW MEXICO,2022,4,39,22,568,1045
WASHINGTON|2022|4,WASHINGTON,2022,4,234,14,994,1473
MAINE|2022|5,MAINE,2022,5,59,6,275,378
NEW JERSEY|2022|5,NEW JERSEY,2022,5,441,6,2063,3309
NEW YORK|2022|5,NEW YORK,2022,5,808,6,3040,2742
PENNSYLVANIA|2022|5,PENNSYLVANIA,2022,5,921,-27,4630,5303
ILLINOIS|2022|5,ILLINOIS,2022,5,38,-18,1129,7245
MICHIGAN|2022|5,MICHIGAN,2022,5,54,37,579,4415
IOWA|2022|5,IOWA,2022,5,45,1,1031,1045
KANSAS|2022|5,KANSAS,2022,5,18,-17,127,961
MINNESOTA|2022|5,MINNESOTA,2022,5,101,83,1529,2487
MISSOURI|2022|5,MISSOURI,2022,5,202,-91,2203,2801
NEBRASKA|2022|5,NEBRASKA,2022,5,202,6,853,946
SOUTH DAKOTA|2022|5,SOUTH DAKOTA,2022,5,54,37,335,447
DISTRICT OF COLUMBIA|2022|5,DISTRICT OF COLUMBIA,2022,5,109,15,587,638
FLORIDA|2022|5,FLORIDA,2022,5,1474,845,7268,9334
GEORGIA|2022|5,GEORGIA,2022,5,761,-32,3225,6395
SOUTH CAROLINA|2022|5,SOUTH CAROLINA,2022,5,203,-106,2214,3641
VIRGINIA|2022|5,VIRGINIA,2022,5,876,62,3702,3727
WEST VIRGINIA|2022|5,WEST VIRGINIA,2022,5,25,12,256,522
ALABAMA|2022|5,ALABAMA,2022,5,62,-13,845,3083
TENNESSEE|2022|5,TENNESSEE,2022,5,87,-247,1970,3748
ARKANSAS|2022|5,ARKANSAS,2022,5,90,-67,903,1784
OKLAHOMA|2022|5,OKLAHOMA,2022,5,26,-25,569,1215
ARIZONA|2022|5,ARIZONA,2022,5,460,-11,3199,3542
COLORADO|2022|5,COLORADO,2022,5,434,-15,1324,2721
MONTANA|2022|5,MONTANA,2022,5,50,15,253,419
NEW MEXICO|2022|5,NEW MEXICO,2022,5,51,12,759,1300
UTAH|2022|5,UTAH,2022,5,164,15,891,1186
CALIFORNIA|2022|5,CALIFORNIA,2022,5,640,405,12652,17645
OREGON|2022|5,OREGON,2022,5,47,-82,902,1599
WASHINGTON|2022|5,WASHINGTON,2022,5,334,100,1328,2031
MAINE|2022|6,MAINE,2022,6,36,-23,349,454
NEW HAMPSHIRE|2022|6,NEW HAMPSHIRE,2022,6,16,-26,266,380
RHODE ISLAND|2022|6,RHODE ISLAND,2022,6,133,73,545,469
VERMONT|2022|6,VERMONT,2022,6,17,6,117,96
NEW JERSEY|2022|6,NEW JERSEY,2022,6,499,58,2562,3983
NEW YORK|2022|6,NEW YORK,2022,6,727,-81,3764,3491
PENNSYLVANIA|2022|6,PENNSYLVANIA,2022,6,875,-46,5596,6465
ILLINOIS|2022|6,ILLINOIS,2022,6,56,18,1609,8656
MICHIGAN|2022|6,MICHIGAN,2022,6,102,48,1791,5260
IOWA|2022|6,IOWA,2022,6,49,4,1275,1355
KANSAS|2022|6,KANSAS,2022,6,33,15,160,1949
MINNESOTA|2022|6,MINNESOTA,2022,6,119,18,1996,2940
MISSOURI|2022|6,MISSOURI,2022,6,204,2,2810,3428
NEBRASKA|2022|6,NEBRASKA,2022,6,165,-37,1026,1161
NORTH DAKOTA|2022|6,NORTH DAKOTA,2022,6,1,0,222,516
DISTRICT OF COLUMBIA|2022|6,DISTRICT OF COLUMBIA,2022,6,39,-70,757,794
FLORIDA|2022|6,FLORIDA,2022,6,1523,49,9283,11572
GEORGIA|2022|6,GEORGIA,2022,6,717,-44,3942,7692
SOUTH CAROLINA|2022|6,SOUTH CAROLINA,2022,6,450,247,3750,4404
VIRGINIA|2022|6,VIRGINIA,2022,6,848,-28,4561,4527
WEST VIRGINIA|2022|6,WEST VIRGINIA,2022,6,23,-2,317,634
ALABAMA|2022|6,ALABAMA,2022,6,213,151,3148,3759
MISSISSIPPI|2022|6,MISSISSIPPI,2022,6,177,-19,1620,2634
ARKANSAS|2022|6,ARKANSAS,2022,6,200,110,1229,2143
LOUISIANA|2022|6,LOUISIANA,2022,6,333,0,3288,4404
OKLAHOMA|2022|6,OKLAHOMA,2022,6,53,27,800,1408
ARIZONA|2022|6,ARIZONA,2022,6,478,18,3908,4371
COLORADO|2022|6,COLORADO,2022,6,474,40,1829,3160
MONTANA|2022|6,MONTANA,2022,6,44,-6,311,495
NEW MEXICO|2022|6,NEW MEXICO,2022,6,57,6,952,1559
UTAH|2022|6,UTAH,2022,6,180,16,1141,1376
OREGON|2022|6,OREGON,2022,6,188,141,1831,1882
MAINE|2022|7,MAINE,2022,7,42,6,391,515
NEW HAMPSHIRE|2022|7,NEW HAMPSHIRE,2022,7,56,40,368,442
VERMONT|2022|7,VERMONT,2022,7,21,4,138,110
NEW JERSEY|2022|7,NEW JERSEY,2022,7,423,-76,2985,4489
NEW YORK|2022|7,NEW YORK,2022,7,805,78,4505,4242
PENNSYLVANIA|2022|7,PENNSYLVANIA,2022,7,934,59,6772,7396
ILLINOIS|2022|7,ILLINOIS,2022,7,59,3,2199,9800
MICHIGAN|2022|7,MICHIGAN,2022,7,175,73,2297,6051
IOWA|2022|7,IOWA,2022,7,58,9,1544,1644
KANSAS|2022|7,KANSAS,2022,7,40,7,200,2189
MINNESOTA|2022|7,MINNESOTA,2022,7,109,-10,2412,3366
MISSOURI|2022|7,MISSOURI,2022,7,235,31,3255,3889
NEBRASKA|2022|7,NEBRASKA,2022,7,162,-3,1200,1302
SOUTH DAKOTA|2022|7,SOUTH DAKOTA,2022,7,21,-33,487,622
FLORIDA|2022|7,FLORIDA,2022,7,1526,3,11303,13487
GEORGIA|2022|7,GEORGIA,2022,7,803,86,4745,9058
SOUTH CAROLINA|2022|7,SOUTH CAROLINA,2022,7,679,229,4429,5201
VIRGINIA|2022|7,VIRGINIA,2022,7,822,-26,5404,5326
WEST VIRGINIA|2022|7,WEST VIRGINIA,2022,7,30,7,403,708
ALABAMA|2022|7,ALABAMA,2022,7,196,-17,3344,4273
MISSISSIPPI|2022|7,MISSISSIPPI,2022,7,177,0,2042,2757
TENNESSEE|2022|7,TENNESSEE,2022,7,353,266,2700,4707
ARKANSAS|2022|7,ARKANSAS,2022,7,167,-33,1505,2199
LOUISIANA|2022|7,LOUISIANA,2022,7,282,-51,3977,4715
OKLAHOMA|2022|7,OKLAHOMA,2022,7,43,-10,1031,1529
ARIZONA|2022|7,ARIZONA,2022,7,467,-11,4705,5210
COLORADO|2022|7,COLORADO,2022,7,558,84,2515,3703
UTAH|2022|7,UTAH,2022,7,175,-5,1362,1568
CALIFORNIA|2022|7,CALIFORNIA,2022,7,341,-299,19553,24672
OREGON|2022|7,OREGON,2022,7,368,180,2197,2134
WASHINGTON|2022|7,WASHINGTON,2022,7,586,252,2380,2813
MAINE|2022|8,MAINE,2022,8,23,-19,417,580
NEW HAMPSHIRE|2022|8,NEW HAMPSHIRE,2022,8,59,3,425,504
VERMONT|2022|8,VERMONT,2022,8,19,-2,157,123
NEW JERSEY|2022|8,NEW JERSEY,2022,8,450,27,3435,5185
NEW YORK|2022|8,NEW YORK,2022,8,665,-140,5163,5025
ILLINOIS|2022|8,ILLINOIS,2022,8,56,-3,2808,11192
MICHIGAN|2022|8,MICHIGAN,2022,8,70,-105,2828,7045
OHIO|2022|8,OHIO,2022,8,710,0,7331,9601
WISCONSIN|2022|8,WISCONSIN,2022,8,134,73,608,4763
KANSAS|2022|8,KANSAS,2022,8,62,22,262,2496
MINNESOTA|2022|8,MINNESOTA,2022,8,93,-16,2764,3845
MISSOURI|2022|8,MISSOURI,2022,8,203,-32,3661,4338
NEBRASKA|2022|8,NEBRASKA,2022,8,161,-1,1367,1504
FLORIDA|2022|8,FLORIDA,2022,8,1542,16,13274,15624
SOUTH CAROLINA|2022|8,SOUTH CAROLINA,2022,8,442,-237,4891,5849
VIRGINIA|2022|8,VIRGINIA,2022,8,745,-77,6181,6047
WEST VIRGINIA|2022|8,WEST VIRGINIA,2022,8,23,-7,472,835
ALABAMA|2022|8,ALABAMA,2022,8,531,335,4423,4962
KENTUCKY|2022|8,KENTUCKY,2022,8,200,75,2366,2016
ARKANSAS|2022|8,ARKANSAS,2022,8,103,-64,1734,2587
LOUISIANA|2022|8,LOUISIANA,2022,8,351,69,4723,5472
OKLAHOMA|2022|8,OKLAHOMA,2022,8,30,-13,1202,1802
ARIZONA|2022|8,ARIZONA,2022,8,430,-37,5389,6072
COLORADO|2022|8,COLORADO,2022,8,528,-30,691,4368
IDAHO|2022|8,IDAHO,2022,8,2,-3,597,1088
MONTANA|2022|8,MONTANA,2022,8,39,-5,459,646
NEVADA|2022|8,NEVADA,2022,8,1,0,372,2128
ALASKA|2022|8,ALASKA,2022,8,43,0,668,902
OREGON|2022|8,OREGON,2022,8,191,-177,2516,2453
WASHINGTON|2022|8,WASHINGTON,2022,8,393,-193,2773,3136
NON-US RESIDENTS|2022|8,NON-US RESIDENTS,2022,8,2,1,29,13
MAINE|2022|9,MAINE,2022,9,17,-6,524,655
NEW HAMPSHIRE|2022|9,NEW HAMPSHIRE,2022,9,35,-24,464,580
VERMONT|2022|9,VERMONT,2022,9,17,-2,175,141
NEW JERSEY|2022|9,NEW JERSEY,2022,9,493,43,3928,5907
NEW YORK|2022|9,NEW YORK,2022,9,733,68,5895,5795
PENNSYLVANIA|2022|9,PENNSYLVANIA,2022,9,907,-27,8735,9643
ILLINOIS|2022|9,ILLINOIS,2022,9,71,15,3398,12592
MICHIGAN|2022|9,MICHIGAN,2022,9,126,56,3292,7948
WISCONSIN|2022|9,WISCONSIN,2022,9,114,-20,831,5325
IOWA|2022|9,IOWA,2022,9,37,-21,2078,2213
KANSAS|2022|9,KANSAS,2022,9,26,-36,288,2809
MINNESOTA|2022|9,MINNESOTA,2022,9,122,29,3201,4298
MISSOURI|2022|9,MISSOURI,2022,9,237,34,4157,5145
NEBRASKA|2022|9,NEBRASKA,2022,9,169,8,1557,1694
NORTH DAKOTA|2022|9,NORTH DAKOTA,2022,9,1,0,232,746
SOUTH DAKOTA|2022|9,SOUTH DAKOTA,2022,9,61,40,681,840
DISTRICT OF COLUMBIA|2022|9,DISTRICT OF COLUMBIA,2022,9,127,88,1265,1177
FLORIDA|2022|9,FLORIDA,2022,9,1253,-289,15054,17667
SOUTH CAROLINA|2022|9,SOUTH CAROLINA,2022,9,1137,695,6166,6606
VIRGINIA|2022|9,VIRGINIA,2022,9,855,110,7045,6801
WEST VIRGINIA|2022|9,WEST VIRGINIA,2022,9,34,11,616,955
ALABAMA|2022|9,ALABAMA,2022,9,521,-10,5083,5570
KENTUCKY|2022|9,KENTUCKY,2022,9,331,131,2705,2331
MISSISSIPPI|2022|9,MISSISSIPPI,2022,9,161,-16,2460,3529
TENNESSEE|2022|9,TENNESSEE,2022,9,113,-240,4470,6555
ARKANSAS|2022|9,ARKANSAS,2022,9,167,64,2017,2930
LOUISIANA|2022|9,LOUISIANA,2022,9,157,-194,5183,6201
OKLAHOMA|2022|9,OKLAHOMA,2022,9,57,27,1362,2079
ARIZONA|2022|9,ARIZONA,2022,9,488,58,6244,6964
IDAHO|2022|9,IDAHO,2022,9,41,39,683,1217
MONTANA|2022|9,MONTANA,2022,9,39,0,525,733
NEW MEXICO|2022|9,NEW MEXICO,2022,9,65,8,1220,2297
UTAH|2022|9,UTAH,2022,9,166,-9,1842,2024
WYOMING|2022|9,WYOMING,2022,9,29,0,35,386
ALASKA|2022|9,ALASKA,2022,9,52,9,758,999
OREGON|2022|9,OREGON,2022,9,319,128,2836,2688
NON-US RESIDENTS|2022|9,NON-US RESIDENTS,2022,9,2,0,31,13
MAINE|2022|10,MAINE,2022,10,42,25,599,725
NEW HAMPSHIRE|2022|10,NEW HAMPSHIRE,2022,10,57,22,548,624
VERMONT|2022|10,VERMONT,2022,10,37,20,212,162
NEW JERSEY|2022|10,NEW JERSEY,2022,10,524,31,4452,6577
NEW YORK|2022|10,NEW YORK,2022,10,936,203,6830,6561
ILLINOIS|2022|10,ILLINOIS,2022,10,84,13,3977,13937
MICHIGAN|2022|10,MICHIGAN,2022,10,172,46,4229,8833
WISCONSIN|2022|10,WISCONSIN,2022,10,330,216,4514,5901
MISSOURI|2022|10,MISSOURI,2022,10,174,-63,4944,5816
SOUTH DAKOTA|2022|10,SOUTH DAKOTA,2022,10,48,-13,784,926
FLORIDA|2022|10,FLORIDA,2022,10,1586,333,17273,19769
SOUTH CAROLINA|2022|10,SOUTH CAROLINA,2022,10,699,-438,6871,7320
VIRGINIA|2022|10,VIRGINIA,2022,10,753,-102,7830,7586
WEST VIRGINIA|2022|10,WEST VIRGINIA,2022,10,30,-4,752,1066
ALABAMA|2022|10,ALABAMA,2022,10,591,70,5765,6206
KENTUCKY|2022|10,KENTUCKY,2022,10,339,8,3039,2620
MISSISSIPPI|2022|10,MISSISSIPPI,2022,10,172,11,3025,3969
ARKANSAS|2022|10,ARKANSAS,2022,10,139,-28,2274,3250
LOUISIANA|2022|10,LOUISIANA,2022,10,306,149,5925,6834
OKLAHOMA|2022|10,OKLAHOMA,2022,10,58,1,1591,2347
ARIZONA|2022|10,ARIZONA,2022,10,495,7,7125,7777
COLORADO|2022|10,COLORADO,2022,10,406,-122,1954,5527
IDAHO|2022|10,IDAHO,2022,10,64,23,763,1337
MONTANA|2022|10,MONTANA,2022,10,51,12,604,831
NEW MEXICO|2022|10,NEW MEXICO,2022,10,54,-11,1444,2547
UTAH|2022|10,UTAH,2022,10,159,-7,2064,2267
WYOMING|2022|10,WYOMING,2022,10,23,-6,58,424
OREGON|2022|10,OREGON,2022,10,298,-21,3134,3066
WASHINGTON|2022|10,WASHINGTON,2022,10,505,112,3278,4071
NON-US RESIDENTS|2022|10,NON-US RESIDENTS,2022,10,1,-1,32,13
MAINE|2022|11,MAINE,2022,11,55,13,698,800
NEW HAMPSHIRE|2022|11,NEW HAMPSHIRE,2022,11,44,-13,604,709
VERMONT|2022|11,VERMONT,2022,11,25,-12,237,174
NEW JERSEY|2022|11,NEW JERSEY,2022,11,468,-56,4920,7230
NEW YORK|2022|11,NEW YORK,2022,11,855,-81,7677,7312
PENNSYLVANIA|2022|11,PENNSYLVANIA,2022,11,860,-47,10875,11853
ILLINOIS|2022|11,ILLINOIS,2022,11,68,-16,4752,15248
MICHIGAN|2022|11,MICHIGAN,2022,11,198,26,4653,9708
OHIO|2022|11,OHIO,2022,11,689,-21,10409,13078
WISCONSIN|2022|11,WISCONSIN,2022,11,433,103,5054,6387
IOWA|2022|11,IOWA,2022,11,108,71,2745,2656
MINNESOTA|2022|11,MINNESOTA,2022,11,131,9,4083,5143
MISSOURI|2022|11,MISSOURI,2022,11,189,15,5467,6483
NORTH DAKOTA|2022|11,NORTH DAKOTA,2022,11,3,2,427,917
SOUTH DAKOTA|2022|11,SOUTH DAKOTA,2022,11,69,21,908,1013
FLORIDA|2022|11,FLORIDA,2022,11,1491,-95,19418,21826
GEORGIA|2022|11,GEORGIA,2022,11,805,2,6326,14287
SOUTH CAROLINA|2022|11,SOUTH CAROLINA,2022,11,751,52,7621,8051
VIRGINIA|2022|11,VIRGINIA,2022,11,805,52,8657,8424
WEST VIRGINIA|2022|11,WEST VIRGINIA,2022,11,33,3,835,1180
ALABAMA|2022|11,ALABAMA,2022,11,541,-50,6326,6708
KENTUCKY|2022|11,KENTUCKY,2022,11,464,125,3514,2946
MISSISSIPPI|2022|11,MISSISSIPPI,2022,11,187,15,3432,4323
TENNESSEE|2022|11,TENNESSEE,2022,11,294,181,5099,8339
ARKANSAS|2022|11,ARKANSAS,2022,11,123,-16,2591,3547
LOUISIANA|2022|11,LOUISIANA,2022,11,329,23,6674,7530
OKLAHOMA|2022|11,OKLAHOMA,2022,11,54,-4,1820,2613
ARIZONA|2022|11,ARIZONA,2022,11,454,-41,7914,8552
IDAHO|2022|11,IDAHO,2022,11,46,-18,812,1482
MONTANA|2022|11,MONTANA,2022,11,54,3,139,2
NEVADA|2022|11,NEVADA,2022,11,6,5,1177,2968
NEW MEXICO|2022|11,NEW MEXICO,2022,11,59,5,1662,2795
UTAH|2022|11,UTAH,2022,11,168,9,2271,2468
WYOMING|2022|11,WYOMING,2022,11,17,-6,88,449
CALIFORNIA|2022|11,CALIFORNIA,2022,11,1598,1257,36099,40028
OREGON|2022|11,OREGON,2022,11,356,58,3502,3363
WASHINGTON|2022|11,WASHINGTON,2022,11,453,-52,3731,4472
NON-US RESIDENTS|2022|11,NON-US RESIDENTS,2022,11,1,0,33,25
MAINE|2022|12,MAINE,2022,12,63,8,775,847
NEW HAMPSHIRE|2022|12,NEW HAMPSHIRE,2022,12,71,27,683,761
VERMONT|2022|12,VERMONT,2022,12,23,-2,260,186
NEW JERSEY|2022|12,NEW JERSEY,2022,12,512,44,5431,7836
NEW YORK|2022|12,NEW YORK,2022,12,831,-24,8454,7984
PENNSYLVANIA|2022|12,PENNSYLVANIA,2022,12,944,84,12033,12857
ILLINOIS|2022|12,ILLINOIS,2022,12,66,-2,5653,16600
MICHIGAN|2022|12,MICHIGAN,2022,12,208,10,5275,10478
OHIO|2022|12,OHIO,2022,12,661,-28,11430,14133
WISCONSIN|2022|12,WISCONSIN,2022,12,327,-106,5470,6939
IOWA|2022|12,IOWA,2022,12,51,-57,2942,2921
MISSOURI|2022|12,MISSOURI,2022,12,243,54,5988,7099
NEBRASKA|2022|12,NEBRASKA,2022,12,144,-25,2112,2239
SOUTH DAKOTA|2022|12,SOUTH DAKOTA,2022,12,45,-24,978,1099
DISTRICT OF COLUMBIA|2022|12,DISTRICT OF COLUMBIA,2022,12,55,-72,1709,1600
FLORIDA|2022|12,FLORIDA,2022,12,1426,-65,21363,23838
GEORGIA|2022|12,GEORGIA,2022,12,846,41,7172,15615
SOUTH CAROLINA|2022|12,SOUTH CAROLINA,2022,12,735,-16,8357,8797
VIRGINIA|2022|12,VIRGINIA,2022,12,858,53,9532,9168
WEST VIRGINIA|2022|12,WEST VIRGINIA,2022,12,41,8,943,1284
ALABAMA|2022|12,ALABAMA,2022,12,572,31,6931,6795
KENTUCKY|2022|12,KENTUCKY,2022,12,389,-75,3942,3284
MISSISSIPPI|2022|12,MISSISSIPPI,2022,12,150,-37,3826,4748
ARKANSAS|2022|12,ARKANSAS,2022,12,125,2,2871,3786
LOUISIANA|2022|12,LOUISIANA,2022,12,240,-89,7292,8220
OKLAHOMA|2022|12,OKLAHOMA,2022,12,61,7,2089,2888
ARIZONA|2022|12,ARIZONA,2022,12,478,24,8670,9401
IDAHO|2022|12,IDAHO,2022,12,64,18,935,1614
MONTANA|2022|12,MONTANA,2022,12,38,-16,220,53
NEVADA|2022|12,NEVADA,2022,12,2,-4,1371,3252
NEW MEXICO|2022|12,NEW MEXICO,2022,12,31,-28,1832,3031
UTAH|2022|12,UTAH,2022,12,165,-3,2509,2727
WYOMING|2022|12,WYOMING,2022,12,19,2,122,485
CALIFORNIA|2022|12,CALIFORNIA,2022,12,2254,656,41626,43648
OREGON|2022|12,OREGON,2022,12,323,-33,3833,3644
WASHINGTON|2022|12,WASHINGTON,2022,12,440,-13,4172,4803
NON-US RESIDENTS|2022|12,NON-US RESIDENTS,2022,12,1,0,34,29
NEW HAMPSHIRE|2022|13,NEW HAMPSHIRE,2022,13,49,-22,726,808
VERMONT|2022|13,VERMONT,2022,13,37,14,297,209
NEW JERSEY|2022|13,NEW JERSEY,2022,13,486,-26,5917,8491
NEW YORK|2022|13,NEW YORK,2022,13,828,-3,9283,8642
PENNSYLVANIA|2022|13,PENNSYLVANIA,2022,13,936,-8,13104,13958
ILLINOIS|2022|13,ILLINOIS,2022,13,62,-4,6511,17817
MICHIGAN|2022|13,MICHIGAN,2022,13,226,18,5964,11355
WISCONSIN|2022|13,WISCONSIN,2022,13,437,110,6104,7501
IOWA|2022|13,IOWA,2022,13,47,-4,3170,3161
MINNESOTA|2022|13,MINNESOTA,2022,13,62,-69,4604,6007
MISSOURI|2022|13,MISSOURI,2022,13,235,-8,6645,7682
NEBRASKA|2022|13,NEBRASKA,2022,13,191,47,2349,2384
NORTH DAKOTA|2022|13,NORTH DAKOTA,2022,13,2,-1,436,1078
SOUTH DAKOTA|2022|13,SOUTH DAKOTA,2022,13,5,-40,983,1181
DISTRICT OF COLUMBIA|2022|13,DISTRICT OF COLUMBIA,2022,13,133,78,1945,1698
FLORIDA|2022|13,FLORIDA,2022,13,1485,59,23477,25934
GEORGIA|2022|13,GEORGIA,2022,13,745,-101,7917,16798
NORTH CAROLINA|2022|13,NORTH CAROLINA,2022,13,2,0,8518,15594
SOUTH CAROLINA|2022|13,SOUTH CAROLINA,2022,13,768,33,9230,9478
VIRGINIA|2022|13,VIRGINIA,2022,13,506,-352,10066,9855
WEST VIRGINIA|2022|13,WEST VIRGINIA,2022,13,39,-2,1053,1395
ALABAMA|2022|13,ALABAMA,2022,13,504,-68,7474,7235
KENTUCKY|2022|13,KENTUCKY,2022,13,272,-117,4223,3624
