CensusTract,State,County,Urban,Pop2010,OHU2010,GroupQuartersFlag,NUMGQTRS,PCTGQTRS,LILATracts_1And10,LILATracts_halfAnd10,LILATracts_1And20,LILATracts_Vehicle,HUNVFlag,LowIncomeTracts,PovertyRate,MedianFamilyIncome,LA1and10,LAhalfand10,LA1and20,LATracts_half,LATracts1,LATracts10,LATracts20,LATractsVehicle_20,LAPOP1_10,LAPOP05_10,LAPOP1_20,LALOWI1_10,LALOWI05_10,LALOWI1_20,lapophalf,lapophalfshare,lalowihalf,lalowihalfshare,lakidshalf,lakidshalfshare,laseniorshalf,laseniorshalfshare,lawhitehalf,lawhitehalfshare,lablackhalf,lablackhalfshare,laasianhalf,laasianhalfshare,lanhopihalf,lanhopihalfshare,laaianhalf,laaianhalfshare,laomultirhalf,laomultirhalfshare,lahisphalf,lahisphalfshare,lahunvhalf,lahunvhalfshare,lasnaphalf,lasnaphalfshare,lapop1,lapop1share,lalowi1,lalowi1share,lakids1,lakids1share,laseniors1,laseniors1share,lawhite1,lawhite1share,lablack1,lablack1share,laasian1,laasian1share,lanhopi1,lanhopi1share,laaian1,laaian1share,laomultir1,laomultir1share,lahisp1,lahisp1share,lahunv1,lahunv1share,lasnap1,lasnap1share,lapop10,lapop10share,lalowi10,lalowi10share,lakids10,lakids10share,laseniors10,laseniors10share,lawhite10,lawhite10share,lablack10,lablack10share,laasian10,laasian10share,lanhopi10,lanhopi10share,laaian10,laaian10share,laomultir10,laomultir10share,lahisp10,lahisp10share,lahunv10,lahunv10share,lasnap10,lasnap10share,lapop20,lapop20share,lalowi20,lalowi20share,lakids20,lakids20share,laseniors20,laseniors20share,lawhite20,lawhite20share,lablack20,lablack20share,laasian20,laasian20share,lanhopi20,lanhopi20share,laaian20,laaian20share,laomultir20,laomultir20share,lahisp20,lahisp20share,lahunv20,lahunv20share,lasnap20,lasnap20share,TractLOWI,TractKids,TractSeniors,TractWhite,TractBlack,TractAsian,TractNHOPI,TractAIAN,TractOMultir,TractHispanic,TractHUNV,TractSNAP,GEOID,latitude,longitude,state
13007960200,Georgia,Baker County,0,1253,510,0,0,0.0,1,1,0,0,0,1,10.1,53112.0,1,1,0,0,0,1,0,0,755.0,755.0,,209.0,209.0,,1253.0,100.0,479.0,38.19,288.0,22.98,238.0,18.99,681.0,54.35,505.0,40.3,16.0,1.28,1.0,0.08,4.0,0.32,46.0,3.67,48.0,3.83,31.0,6.09,27.0,5.37,1239.0,98.9,471.0,37.59,287.0,22.88,236.0,18.8,678.0,54.14,494.0,39.41,16.0,1.28,1.0,0.08,4.0,0.32,46.0,3.67,48.0,3.83,30.0,5.93,27.0,5.3,755.0,60.22,209.0,16.69,162.0,12.9,152.0,12.12,476.0,37.96,227.0,18.11,15.0,1.2,1.0,0.08,2.0,0.16,34.0,2.71,33.0,2.63,7.0,1.37,17.0,3.3,,,,,,,,,,,,,,,,,,,,,,,,,,,490,288,238,681,505,16,1,4,46,48,41,30,13007960200,31.30638268697077,-84.54241936490124,GA
13009970400,Georgia,Baldwin County,1,4336,1810,0,206,4.75,0,1,0,0,0,1,37.7,56250.0,0,1,0,1,0,0,0,0,56.0,2364.0,56.0,11.0,1376.0,11.0,2364.0,54.52,1376.0,31.72,252.0,5.8,272.0,6.28,1631.0,37.62,612.0,14.1,58.0,1.33,1.0,0.02,2.0,0.05,61.0,1.4,66.0,1.52,86.0,4.73,97.0,5.38,56.0,1.3,11.0,0.26,11.0,0.24,8.0,0.19,30.0,0.68,26.0,0.59,1.0,0.02,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.04,3.0,0.16,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2371,660,555,2300,1797,110,2,5,122,123,229,200,13009970400,33.09898414677564,-83.2414707387017,GA
13009970600,Georgia,Baldwin County,1,3923,1616,0,76,1.94,1,1,1,1,1,1,36.6,29265.0,1,1,1,1,1,0,0,1,3162.0,3768.0,3162.0,2103.0,2530.0,2103.0,3768.0,96.04,2530.0,64.49,873.0,22.25,505.0,12.86,1028.0,26.22,2630.0,67.05,12.0,0.31,1.0,0.03,8.0,0.2,88.0,2.24,55.0,1.4,231.0,14.3,384.0,23.75,3162.0,80.61,2103.0,53.6,723.0,18.42,437.0,11.14,837.0,21.34,2241.0,57.13,9.0,0.22,1.0,0.03,7.0,0.18,67.0,1.71,49.0,1.25,202.0,12.48,321.0,19.89,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2308,911,525,1093,2718,12,1,8,91,55,224,386,13009970600,33.054959989259224,-83.24850922030087,GA
13009970701,Georgia,Baldwin County,1,2632,815,0,637,24.2,1,1,1,1,1,1,33.0,39958.0,1,1,1,1,1,0,0,1,1404.0,2247.0,1404.0,1148.0,1605.0,1148.0,2247.0,85.36,1605.0,60.98,505.0,19.2,241.0,9.17,542.0,20.59,1657.0,62.94,10.0,0.39,0.0,0.0,4.0,0.14,34.0,1.31,30.0,1.13,148.0,18.17,242.0,29.69,1404.0,53.33,1148.0,43.62,325.0,12.35,172.0,6.53,342.0,12.98,1041.0,39.56,5.0,0.19,0.0,0.0,2.0,0.09,13.0,0.5,10.0,0.37,100.0,12.28,145.0,17.76,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1458,557,269,689,1885,14,0,6,38,40,127,222,13009970701,33.06281209801791,-83.22196377792197,GA
13009970702,Georgia,Baldwin County,1,2297,691,0,634,27.6,1,1,1,1,1,1,32.4,29145.0,1,1,1,1,1,0,0,1,1822.0,2273.0,1822.0,1213.0,1538.0,1213.0,2273.0,98.97,1538.0,66.96,441.0,19.18,415.0,18.08,934.0,40.64,1271.0,55.32,30.0,1.31,1.0,0.04,1.0,0.04,37.0,1.61,31.0,1.35,113.0,16.38,188.0,27.15,1822.0,79.33,1213.0,52.8,315.0,13.71,359.0,15.62,755.0,32.85,1017.0,44.26,24.0,1.07,1.0,0.04,1.0,0.04,25.0,1.07,23.0,1.01,93.0,13.47,140.0,20.27,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1367,447,418,942,1286,30,1,1,37,31,113,184,13009970702,33.05250165414972,-83.2109992343632,GA
13011970100,Georgia,Banks County,0,5208,1934,0,0,0.0,0,0,0,0,0,0,13.5,54522.0,0,0,0,0,0,0,0,0,,,,,,,5208.0,100.0,2453.0,47.09,1297.0,24.9,695.0,13.34,4701.0,90.26,46.0,0.88,56.0,1.08,0.0,0.0,7.0,0.13,398.0,7.64,548.0,10.52,98.0,5.07,234.0,12.1,5204.0,99.93,2451.0,47.06,1296.0,24.89,694.0,13.33,4697.0,90.2,46.0,0.88,56.0,1.07,0.0,0.0,7.0,0.13,398.0,7.64,548.0,10.52,98.0,5.06,234.0,12.09,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2559,1297,695,4701,46,56,0,7,398,548,101,241,13011970100,34.43877611264547,-83.51100164756812,GA
13011970200,Georgia,Banks County,0,5017,1852,0,0,0.0,0,0,0,1,1,1,13.7,46959.0,0,0,0,0,0,0,0,1,326.0,326.0,,160.0,160.0,,5017.0,100.0,2154.0,42.94,1283.0,25.57,651.0,12.98,4728.0,94.24,128.0,2.55,30.0,0.6,0.0,0.0,22.0,0.44,109.0,2.17,134.0,2.67,122.0,6.57,260.0,14.05,5017.0,100.0,2154.0,42.94,1283.0,25.57,651.0,12.98,4728.0,94.24,128.0,2.55,30.0,0.6,0.0,0.0,22.0,0.44,109.0,2.17,134.0,2.67,122.0,6.57,260.0,14.05,326.0,6.5,160.0,3.2,75.0,1.49,49.0,0.97,314.0,6.27,4.0,0.09,0.0,0.0,0.0,0.0,1.0,0.02,6.0,0.12,3.0,0.06,7.0,0.38,17.0,0.91,,,,,,,,,,,,,,,,,,,,,,,,,,,2107,1283,651,4728,128,30,0,22,109,134,112,242,13011970200,34.359521864094795,-83.48528169202143,GA
13011970300,Georgia,Banks County,0,4366,1615,0,0,0.0,0,0,0,0,0,0,10.3,56307.0,0,0,0,0,0,0,0,0,,,,,,,4366.0,100.0,1565.0,35.84,1060.0,24.28,532.0,12.19,4051.0,92.79,91.0,2.08,17.0,0.39,2.0,0.05,11.0,0.25,194.0,4.44,221.0,5.06,86.0,5.29,218.0,13.49,4325.0,99.06,1554.0,35.6,1051.0,24.06,526.0,12.04,4012.0,91.9,91.0,2.08,17.0,0.38,2.0,0.05,11.0,0.25,192.0,4.4,219.0,5.02,85.0,5.26,216.0,13.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1675,1060,532,4051,91,17,2,11,194,221,90,225,13011970300,34.31984782922379,-83.58828294431596,GA
13011970400,Georgia,Banks County,0,3804,1299,0,0,0.0,0,0,0,0,0,0,16.8,60577.0,0,0,0,0,0,0,0,0,,,,,,,3804.0,100.0,1987.0,52.23,1003.0,26.37,422.0,11.09,3397.0,89.3,162.0,4.26,62.0,1.63,1.0,0.03,17.0,0.45,165.0,4.34,138.0,3.63,38.0,2.95,159.0,12.2,3804.0,100.0,1987.0,52.23,1003.0,26.37,422.0,11.09,3397.0,89.3,162.0,4.26,62.0,1.63,1.0,0.03,17.0,0.45,165.0,4.34,138.0,3.63,38.0,2.95,159.0,12.2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1920,1003,422,3397,162,62,1,17,165,138,36,149,13011970400,34.26775770306344,-83.41098315856863,GA
13013180103,Georgia,Barrow County,1,4668,1575,0,0,0.0,0,0,0,0,0,0,9.7,93495.0,1,1,1,1,1,0,0,0,3760.0,4526.0,3760.0,961.0,1156.0,961.0,4526.0,96.96,1156.0,24.77,1224.0,26.21,415.0,8.9,3809.0,81.59,252.0,5.4,294.0,6.29,0.0,0.0,10.0,0.21,162.0,3.47,320.0,6.86,49.0,3.11,117.0,7.44,3760.0,80.55,961.0,20.58,1007.0,21.57,351.0,7.52,3200.0,68.56,180.0,3.86,222.0,4.76,0.0,0.0,6.0,0.13,151.0,3.23,258.0,5.52,41.0,2.58,97.0,6.19,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1363,1241,455,3938,252,301,0,10,167,324,58,139,13013180103,34.078356942900875,-83.80718768135226,GA
13013180104,Georgia,Barrow County,0,2016,670,0,0,0.0,0,0,0,0,0,1,17.8,56750.0,0,0,0,0,0,0,0,0,,,,,,,1723.0,85.46,898.0,44.53,492.0,24.42,133.0,6.62,1477.0,73.28,83.0,4.11,59.0,2.95,0.0,0.0,6.0,0.3,97.0,4.83,145.0,7.2,9.0,1.41,96.0,14.35,870.0,43.16,453.0,22.48,250.0,12.41,63.0,3.15,762.0,37.8,37.0,1.86,30.0,1.5,0.0,0.0,4.0,0.19,36.0,1.8,76.0,3.78,5.0,0.71,49.0,7.29,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,993,581,152,1713,92,78,0,6,127,172,10,102,13013180104,34.00242810340122,-83.83836897439072,GA
13013180105,Georgia,Barrow County,0,2501,820,0,0,0.0,0,0,0,0,0,0,9.9,82586.0,0,0,0,0,0,0,0,0,,,,,,,2501.0,100.0,587.0,23.49,697.0,27.87,211.0,8.44,2170.0,86.77,114.0,4.56,124.0,4.96,2.0,0.08,3.0,0.12,88.0,3.52,136.0,5.44,23.0,2.76,72.0,8.73,2501.0,100.0,587.0,23.49,697.0,27.87,211.0,8.44,2170.0,86.77,114.0,4.56,124.0,4.96,2.0,0.08,3.0,0.12,88.0,3.52,136.0,5.44,23.0,2.76,72.0,8.73,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,652,697,211,2170,114,124,2,3,88,136,24,76,13013180105,34.04357313307235,-83.81324657954684,GA
13013180106,Georgia,Barrow County,1,2624,925,0,0,0.0,1,1,1,0,0,1,10.5,58542.0,1,1,1,1,1,0,0,0,1756.0,2369.0,1756.0,574.0,817.0,574.0,2369.0,90.27,817.0,31.12,612.0,23.34,180.0,6.87,2044.0,77.9,86.0,3.28,99.0,3.76,2.0,0.08,10.0,0.39,128.0,4.88,198.0,7.55,23.0,2.52,121.0,13.03,1756.0,66.93,574.0,21.87,441.0,16.81,125.0,4.76,1539.0,58.67,63.0,2.39,70.0,2.68,2.0,0.08,6.0,0.25,75.0,2.87,138.0,5.27,13.0,1.37,90.0,9.7,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,963,690,195,2264,102,101,2,11,144,220,30,134,13013180106,34.02478011382552,-83.84175690817911,GA
13013180107,Georgia,Barrow County,0,3854,1309,0,0,0.0,0,0,0,0,0,1,6.6,61848.0,0,0,0,0,0,0,0,0,,,,,,,3818.0,99.08,1309.0,33.96,1089.0,28.24,319.0,8.27,3198.0,82.98,184.0,4.76,285.0,7.39,0.0,0.0,4.0,0.11,148.0,3.83,202.0,5.23,64.0,4.9,131.0,10.04,3634.0,94.29,1256.0,32.6,1049.0,27.22,302.0,7.83,3040.0,78.87,170.0,4.41,280.0,7.27,0.0,0.0,4.0,0.1,140.0,3.63,195.0,5.05,60.0,4.56,124.0,9.46,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1431,1095,326,3230,184,285,0,5,150,204,65,136,13013180107,34.01117270231228,-83.78494375381054,GA
13013180108,Georgia,Barrow County,0,2931,1010,0,0,0.0,0,0,0,0,0,1,14.8,57583.0,0,0,0,0,0,0,0,0,,,,,,,2931.0,100.0,941.0,32.1,770.0,26.27,219.0,7.47,2482.0,84.68,181.0,6.18,118.0,4.03,1.0,0.03,12.0,0.41,137.0,4.67,212.0,7.23,25.0,2.46,105.0,10.36,2931.0,100.0,941.0,32.1,770.0,26.27,219.0,7.47,2482.0,84.68,181.0,6.18,118.0,4.03,1.0,0.03,12.0,0.41,137.0,4.67,212.0,7.23,25.0,2.46,105.0,10.36,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,932,770,219,2482,181,118,1,12,137,212,24,103,13013180108,33.98057137876934,-83.80954317999671,GA
13013180203,Georgia,Barrow County,1,3187,1127,0,4,0.13,1,1,1,0,0,1,30.7,40809.0,1,1,1,1,1,0,0,0,764.0,2322.0,764.0,550.0,1511.0,550.0,2322.0,72.86,1511.0,47.42,709.0,22.25,182.0,5.72,1263.0,39.63,743.0,23.33,59.0,1.86,0.0,0.0,15.0,0.46,241.0,7.58,296.0,9.3,87.0,7.74,237.0,21.0,764.0,23.97,550.0,17.27,242.0,7.59,50.0,1.56,504.0,15.81,115.0,3.61,35.0,1.09,0.0,0.0,8.0,0.24,102.0,3.21,131.0,4.11,33.0,2.9,70.0,6.22,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,2123,947,271,1788,1012,64,0,17,306,369,108,348,13013180203,33.984523689062065,-83.69775387618155,GA
13013180204,Georgia,Barrow County,1,2416,809,0,199,8.24,0,1,0,0,0,1,17.7,52143.0,0,1,0,1,0,0,0,0,427.0,957.0,427.0,166.0,459.0,166.0,957.0,39.62,459.0,18.99,258.0,10.69,105.0,4.36,716.0,29.63,158.0,6.55,22.0,0.92,1.0,0.04,0.0,0.0,60.0,2.47,67.0,2.78,43.0,5.35,85.0,10.5,427.0,17.66,166.0,6.87,117.0,4.83,43.0,1.77,372.0,15.39,28.0,1.16,14.0,0.58,0.0,0.0,0.0,0.0,13.0,0.53,16.0,0.67,12.0,1.52,37.0,4.56,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,1427,644,366,1472,671,64,1,0,208,261,135,214,13013180204,33.96950027352739,-83.71733363554152,GA
